score_diff,minutes_remaining,home_won
17,12.865000000000002,1
17,12.463333333333331,1
17,12.350000000000001,1
17,12.108333333333334,1
17,12.108333333333334,1
17,12.108333333333334,1
17,12.0,1
17,12.0,1
17,12.0,1
17,12.0,1
14,11.700000000000003,1
14,11.283333333333331,1
14,10.950000000000003,1
12,10.583333333333336,1
12,10.483333333333334,1
12,10.366666666666667,1
12,10.31666666666667,1
13,10.31666666666667,1
15,9.733333333333334,1
13,9.450000000000003,1
13,9.149999999999999,1
12,8.966666666666669,1
12,8.899999999999999,1
12,8.75,1
12,8.633333333333333,1
12,8.633333333333333,1
12,8.233333333333334,1
12,7.966666666666669,1
12,7.933333333333337,1
12,7.783333333333331,1
